Entity,Code,Year,Share of the daily calorie supply that comes from animal protein,GDP per capita,900793-annotations,Population (historical),World regions according to OWID,time,time,time,time
Dominica,DMA,2022,7.3860416,8879.6455,,66801,North America,2022,2023,2022,2022
Dominican Republic,DOM,2022,5.4763293,17713.52,,11230686,North America,2022,2023,2022,2022
Ecuador,ECU,2022,6.08248,10124.076,,17823857,South America,2022,2023,2022,2022
Egypt,EGY,2022,3.6468313,13205.406,,112618191,Africa,2022,2023,2022,2022
El Salvador,SLV,2022,4.888938,9218.905,,6280269,North America,2022,2023,2022,2022
Estonia,EST,2022,9.2942295,30067.395,,1350038,Europe,2022,2023,2022,2022
Eswatini,SWZ,2022,2.871589,8522.45,,1218873,Africa,2022,2023,2022,2022
Ethiopia,ETH,2022,1.1045091,2289.409,,125384244,Africa,2022,2023,2022,2022
Finland,FIN,2022,9.264293,40701.465,,5569254,Europe,2022,2023,2022,2022
France,FRA,2022,8.714277,39065.71,,66277365,Europe,2022,2023,2022,2022
Gabon,GAB,2022,6.719989,15720.901,,2430702,Africa,2022,2023,2022,2022
Gambia,GMB,2022,3.2101002,2010.5322,,2636423,Africa,2022,2023,2022,2022
Georgia,GEO,2022,5.2196417,14360.359,,3794728,Asia,2022,2023,2022,2022
Germany,DEU,2022,7.971519,46647.793,,84086176,Europe,2022,2023,2022,2022
Ghana,GHA,2022,2.301444,4242.4106,,33149102,Africa,2022,2023,2022,2022
Greece,GRC,2022,7.803322,25283.906,,10412428,Europe,2022,2023,2022,2022
Guatemala,GTM,2022,4.3080406,7969.431,,17847828,North America,2022,2023,2022,2022
Guinea,GIN,2022,1.6806146,1809.2666,,14055075,Africa,2022,2023,2022,2022
Guinea-Bissau,GNB,2022,1.5887635,1625.3876,,2105479,Africa,2022,2023,2022,2022
Haiti,HTI,2022,2.327721,1546.4222,,11503553,North America,2022,2023,2022,2022
Honduras,HND,2022,3.975391,5186.5303,,10463826,North America,2022,2023,2022,2022
Hong Kong,HKG,2022,11.188261,48289.383,,7465860,Asia,2022,2023,2022,2022
Hungary,HUN,2022,6.163049,29451.855,,9684259,Europe,2022,2023,2022,2022
Iceland,ISL,2022,11.483586,42145.594,,380322,Europe,2022,2023,2022,2022
India,IND,2022,2.852485,7765.593,,1425423157,Asia,2022,2023,2022,2022
Indonesia,IDN,2022,4.1980286,12801.671,,278830479,Asia,2022,2023,2022,2022
Iran,IRN,2022,3.5892947,18473.066,,89524192,Asia,2022,2023,2022,2022
Iraq,IRQ,2022,2.1048713,13071.94,,44070510,Asia,2022,2023,2022,2022
Ireland,IRL,2022,9.986754,60257.082,,5109966,Europe,2022,2023,2022,2022
Israel,ISR,2022,8.355555,36648.918,,9103094,Asia,2022,2023,2022,2022
Italy,ITA,2022,7.556116,36224.293,,59619058,Europe,2022,2023,2022,2022
Jamaica,JAM,2022,6.5790997,7481.6685,,2839098,North America,2022,2023,2022,2022
Japan,JPN,2022,7.9922156,38268.79,,124997534,Asia,2022,2023,2022,2022
Jordan,JOR,2022,4.323411,9151.479,,11256215,Asia,2022,2023,2022,2022
Kazakhstan,KAZ,2022,7.400925,26491.857,,20034569,Asia,2022,2023,2022,2022
Kenya,KEN,2022,2.7281644,3403.9238,,54252404,Africa,2022,2023,2022,2022
Kuwait,KWT,2022,6.8051724,71533.516,,4589467,Asia,2022,2023,2022,2022
Kyrgyzstan,KGZ,2022,5.9405937,5304.841,,6955746,Asia,2022,2023,2022,2022
Laos,LAO,2022,3.0144377,7168.1904,,7558961,Asia,2022,2023,2022,2022
Latvia,LVA,2022,8.632181,27220.303,,1881016,Europe,2022,2023,2022,2022
Lebanon,LBN,2022,4.268653,10341.159,,5744441,Asia,2022,2023,2022,2022
Lesotho,LSO,2022,3.3120284,2312.9583,,2286067,Africa,2022,2023,2022,2022
Liberia,LBR,2022,2.582547,811.2146,,5373250,Africa,2022,2023,2022,2022
